year,country,source,category,generation_gwh
2008,England,Solar PV,Solar,0
2009,England,Solar PV,Solar,1
2010,England,Solar PV,Solar,23
2011,England,Solar PV,Solar,221.69
2012,England,Solar PV,Solar,1194.58
2013,England,Solar PV,Solar,1783.0300000000002
2014,England,Solar PV,Solar,3630.3499999999995
2015,England,Solar PV,Solar,6738.03
2016,England,Solar PV,Solar,9231.85
2017,England,Solar PV,Solar,10067.830000000002
2018,England,Solar PV,Solar,11025.31
2019,England,Solar PV,Solar,10788.449999999999
2020,England,Solar PV,Solar,10909.149999999998
2021,England,Solar PV,Solar,10443.76
2022,England,Solar PV,Solar,12039.17
2023,England,Solar PV,Solar,12532.66
2024,England,Solar PV,Solar,12400.800000000001
2008,England,Hydro,Hydro,80
2009,England,Hydro,Hydro,75
2010,England,Hydro,Hydro,61
2011,England,Hydro,Hydro,73.2
2012,England,Hydro,Hydro,90.28
2013,England,Hydro,Hydro,81.9
2014,England,Hydro,Hydro,99.52
2015,England,Hydro,Hydro,102.57999999999998
2016,England,Hydro,Hydro,92.06
2017,England,Hydro,Hydro,125.12
2018,England,Hydro,Hydro,126.88
2019,England,Hydro,Hydro,141.31
2020,England,Hydro,Hydro,155.99
2021,England,Hydro,Hydro,133.28
2022,England,Hydro,Hydro,108.62
2023,England,Hydro,Hydro,138.84
2024,England,Hydro,Hydro,148.94
2008,England,Landfill gas,Other,4012
2009,England,Landfill gas,Other,4146
2010,England,Landfill gas,Other,4227
2011,England,Landfill gas,Other,4513.4
2012,England,Landfill gas,Other,4380.080000000001
2013,England,Landfill gas,Other,4350.68
2014,England,Landfill gas,Other,4245.14
2015,England,Landfill gas,Other,4106.360000000001
2016,England,Landfill gas,Other,3960.91
2017,England,Landfill gas,Other,3590.5
2018,England,Landfill gas,Other,3287.4700000000003
2019,England,Landfill gas,Other,3030.1800000000003
2020,England,Landfill gas,Other,2911.36
2021,England,Landfill gas,Other,2765.02
2022,England,Landfill gas,Other,2600.17
2023,England,Landfill gas,Other,2495.4700000000003
2024,England,Landfill gas,Other,2420.02
2008,England,Sewage sludge digestion,Other,523
2009,England,Sewage sludge digestion,Other,570
2010,England,Sewage sludge digestion,Other,651
2011,England,Sewage sludge digestion,Other,700.67
2012,England,Sewage sludge digestion,Other,662.65
2013,England,Sewage sludge digestion,Other,689.69
2014,England,Sewage sludge digestion,Other,767.8299999999999
2015,England,Sewage sludge digestion,Other,815.48
2016,England,Sewage sludge digestion,Other,871.94
2017,England,Sewage sludge digestion,Other,886.11
2018,England,Sewage sludge digestion,Other,912.14
2019,England,Sewage sludge digestion,Other,970.66
2020,England,Sewage sludge digestion,Other,984.31
2021,England,Sewage sludge digestion,Other,957.56
2022,England,Sewage sludge digestion,Other,922.6899999999999
2023,England,Sewage sludge digestion,Other,908.88
2024,England,Sewage sludge digestion,Other,916.69
2008,England,Bioenergy,Bioenergy,3609
2009,England,Bioenergy,Bioenergy,4155
2010,England,Bioenergy,Bioenergy,5213
2011,England,Bioenergy,Bioenergy,6113.360000000001
2012,England,Bioenergy,Bioenergy,7512.67
2013,England,Bioenergy,Bioenergy,10930.44
2014,England,Bioenergy,Bioenergy,15145.130000000001
2015,England,Bioenergy,Bioenergy,21447.17
2016,England,Bioenergy,Bioenergy,22136.79
2017,England,Bioenergy,Bioenergy,23448.94
2018,England,Bioenergy,Bioenergy,26943.489999999998
2019,England,Bioenergy,Bioenergy,29162.019999999997
2020,England,Bioenergy,Bioenergy,30031.050000000003
2021,England,Bioenergy,Bioenergy,31449.47
2022,England,Bioenergy,Bioenergy,27647.15
2023,England,Bioenergy,Bioenergy,26320.76
2024,England,Bioenergy,Bioenergy,32120.64
2008,England,LOAD FACTORS (%),Other,2008
2009,England,LOAD FACTORS (%),Other,2009
2010,England,LOAD FACTORS (%),Other,2010
2011,England,LOAD FACTORS (%),Other,2011
2012,England,LOAD FACTORS (%),Other,2012
2013,England,LOAD FACTORS (%),Other,2013
2014,England,LOAD FACTORS (%),Other,2014
2015,England,LOAD FACTORS (%),Other,2015
2016,England,LOAD FACTORS (%),Other,2016
2017,England,LOAD FACTORS (%),Other,2017
2018,England,LOAD FACTORS (%),Other,2018
2019,England,LOAD FACTORS (%),Other,2019
2020,England,LOAD FACTORS (%),Other,2020
2021,England,LOAD FACTORS (%),Other,2021
2022,England,LOAD FACTORS (%),Other,2022
2023,England,LOAD FACTORS (%),Other,2023
2024,England,LOAD FACTORS (%),Other,2024
2009,England,Onshore Wind,Wind,27.54
2010,England,Onshore Wind,Wind,25.26
2011,England,Onshore Wind,Wind,32.55
2012,England,Onshore Wind,Wind,31.8
2013,England,Onshore Wind,Wind,35.61
2014,England,Onshore Wind,Wind,34.06
2015,England,Onshore Wind,Wind,38.21
2016,England,Onshore Wind,Wind,32.25
2017,England,Onshore Wind,Wind,35.16
2018,England,Onshore Wind,Wind,36.09
2019,England,Onshore Wind,Wind,36.19
2020,England,Onshore Wind,Wind,42.99
2021,England,Onshore Wind,Wind,35.3
