year,source,category,capacity_mw
2009,Onshore Wind,Wind,3471
2010,Onshore Wind,Wind,4080
2011,Onshore Wind,Wind,4758
2012,Onshore Wind,Wind,6035
2013,Onshore Wind,Wind,7586
2014,Onshore Wind,Wind,8573
2015,Onshore Wind,Wind,9212.24
2016,Onshore Wind,Wind,10832.529999999999
2017,Onshore Wind,Wind,12597.150000000001
2018,Onshore Wind,Wind,13424.85
2019,Onshore Wind,Wind,13998.33
2020,Onshore Wind,Wind,14075.07
2021,Onshore Wind,Wind,14492.750000000002
2022,Onshore Wind,Wind,14840.359999999999
2023,Onshore Wind,Wind,15423.66
2024,Onshore Wind,Wind,16166.23
2009,Offshore Wind (Seabed),Wind,951
2010,Offshore Wind (Seabed),Wind,1341
2011,Offshore Wind (Seabed),Wind,1838
2012,Offshore Wind (Seabed),Wind,2995
2013,Offshore Wind (Seabed),Wind,3696
2014,Offshore Wind (Seabed),Wind,4501
2015,Offshore Wind (Seabed),Wind,5093.5
2016,Offshore Wind (Seabed),Wind,5293.4
2017,Offshore Wind (Seabed),Wind,6957.85
2018,Offshore Wind (Seabed),Wind,8150.5
2019,Offshore Wind (Seabed),Wind,9856.3
2020,Offshore Wind (Seabed),Wind,10350.85
2021,Offshore Wind (Seabed),Wind,11175.85
2022,Offshore Wind (Seabed),Wind,13767.85
2023,Offshore Wind (Seabed),Wind,14652.85
2024,Offshore Wind (Seabed),Wind,15836.05
2009,Offshore Wind (Floating),Wind,0
2010,Offshore Wind (Floating),Wind,0
2011,Offshore Wind (Floating),Wind,0
2012,Offshore Wind (Floating),Wind,0
2013,Offshore Wind (Floating),Wind,0
2014,Offshore Wind (Floating),Wind,0
2015,Offshore Wind (Floating),Wind,0
2016,Offshore Wind (Floating),Wind,0
2017,Offshore Wind (Floating),Wind,30
2018,Offshore Wind (Floating),Wind,30
2019,Offshore Wind (Floating),Wind,32
2020,Offshore Wind (Floating),Wind,32
2021,Offshore Wind (Floating),Wind,79.63
2022,Offshore Wind (Floating),Wind,79.63
2023,Offshore Wind (Floating),Wind,79.63
2024,Offshore Wind (Floating),Wind,79.63
2009,Wave & Tidal,Marine,2
2010,Wave & Tidal,Marine,4
2011,Wave & Tidal,Marine,4
2012,Wave & Tidal,Marine,9
2013,Wave & Tidal,Marine,8
2014,Wave & Tidal,Marine,9
2015,Wave & Tidal,Marine,8.94
2016,Wave & Tidal,Marine,13.49
2017,Wave & Tidal,Marine,18.400000000000002
2018,Wave & Tidal,Marine,20.400000000000002
2019,Wave & Tidal,Marine,22.400000000000002
2020,Wave & Tidal,Marine,9.8
2021,Wave & Tidal,Marine,9.8
2022,Wave & Tidal,Marine,8.2
2023,Wave & Tidal,Marine,6.2
2024,Wave & Tidal,Marine,8.2
2009,Solar PV,Solar,27
2010,Solar PV,Solar,95
2011,Solar PV,Solar,1000
2012,Solar PV,Solar,1754
2013,Solar PV,Solar,2937
2014,Solar PV,Solar,5528
2015,Solar PV,Solar,9601.22
2016,Solar PV,Solar,11914.020000000002
2017,Solar PV,Solar,12760.02
2018,Solar PV,Solar,13059.07
2019,Solar PV,Solar,13344.84
2020,Solar PV,Solar,13772.240000000002
2021,Solar PV,Solar,14251.35
2022,Solar PV,Solar,14812.560000000001
2023,Solar PV,Solar,16428.06
2024,Solar PV,Solar,18999.97
2009,Small Hydro,Hydro,175
2010,Small Hydro,Hydro,188
2011,Small Hydro,Hydro,202
2012,Small Hydro,Hydro,216
2013,Small Hydro,Hydro,232
2014,Small Hydro,Hydro,253
2015,Small Hydro,Hydro,300.2
2016,Small Hydro,Hydro,359.23999999999995
2017,Small Hydro,Hydro,396.46000000000004
2018,Small Hydro,Hydro,404.01000000000005
2019,Small Hydro,Hydro,406.74
2020,Small Hydro,Hydro,414.59000000000003
2021,Small Hydro,Hydro,419.48
2022,Small Hydro,Hydro,420.15
